stid,station_name,lat,lon,elev,begints,iem_network
TMH,20 MILE HILL    ,43.11667,-106.33333,1743,1/27/00 12:01,WY_ASOS
AFO,Afton,42.7112,-110.9422,1882.1039,11/14/13 7:55,WY_ASOS
46U,Alpine,43.1846,-111.0424,1713.6123,4/20/16 15:20,WY_ASOS
ARL,Arlington,41.71,-106.21,2194,4/1/82 22:00,WY_ASOS
BVR,BEAVER RIM      ,42.58333,-108.28333,2072,1/27/00 12:02,WY_ASOS
BFU,BELLE FOURCHE   ,43.93333,-105.45,1422,1/27/00 12:21,WY_ASOS
BPI,BIG PINEY (AMOS),42.58507,-110.11115,2124,1/1/73 6:00,WY_ASOS
BIT,BITTERCREEK     ,41.65,-108.58333,2160,1/27/00 12:01,WY_ASOS
BRX,BORDEAUX        ,41.93333,-104.95,1524,1/1/49 1:00,WY_ASOS
TBX,Boysen Reservoir,43.46465,-108.23844,2223.7407,10/21/11 9:35,WY_ASOS
BYG,BUFFALO/JOHNSON COUNTY,44.38,-106.72,1514,8/1/98 1:53,WY_ASOS
CPR,CASPER/NATRONA INTL,42.908,-106.46442,1612,1/1/48 1:00,WY_ASOS
CMS,CEMETERY SEPARA ,41.53333,-109.46667,1949,1/27/00 12:05,WY_ASOS
FEW,Cheyenne FEW,41.13332,-104.86719,1878,7/19/11 16:55,WY_ASOS
CYS,CHEYENNE/WARREN AFB,41.15564,-104.81047,1871,1/1/48 1:00,WY_ASOS
CHJ,CHIEF JOSEPH    ,44.75,-109.37,2512,4/13/00 15:33,WY_ASOS
COD,CODY MUNI (AWOS),44.52019,-109.02381,1553,1/1/73 7:00,WY_ASOS
CTD,CONTINENTAL DIV ,41.71667,-107.78333,2146,1/27/00 12:00,WY_ASOS
U68,Cowley,44.9117,-108.4455,1243.0966,7/12/14 8:15,WY_ASOS
DHS,DEAD HORSE      ,44.21667,-106.1,1241,1/27/00 12:04,WY_ASOS
DRC,DEER CREEK      ,42.83333,-105.86667,1543,1/27/00 12:07,WY_ASOS
DWX,DIxon,41.03744,-107.49253,1983.8618,7/23/13 15:15,WY_ASOS
DGW,DOUGLAS/CONVERSE COUNTY AIRPORT,42.79719,-105.38583,1502,6/1/98 1:53,WY_ASOS
DUB,Dubois,43.5484,-109.6903,2210.3616,5/5/13 18:15,WY_ASOS
EHY,Elk Mountain,41.7253,-106.4594,2225,9/1/10 11:02,WY_ASOS
EVW,EVANSTON/BURNS FLD,41.27306,-111.03056,2183,1/1/73 1:00,WY_ASOS
FIR,FIRST DIVIDE    ,41.3,-110.76667,2294,2/1/48 3:00,WY_ASOS
FBR,Fort Bridger,41.3941,-110.4059,2140.5823,8/2/13 7:55,WY_ASOS
GCC,GILLETTE (AMOS),44.34892,-105.53936,1230,12/1/76 19:00,WY_ASOS
GEY,GREYBULL/SOUTH BIG HORN CNTY APT,44.51682,-108.08282,1201,10/1/98 8:55,WY_ASOS
GUR,Guernsey,42.2597,-104.7283,1330.2438,7/31/14 11:55,WY_ASOS
GUN,GUNBARREL       ,41.43,-104.34,1695,4/13/00 15:32,WY_ASOS
HLD,HILAND          ,43.1,-107.31667,1846,1/27/00 12:00,WY_ASOS
W43,Hulett ,44.6629,-104.5678,1280.641,1/1/08 1:55,WY_ASOS
IDV,I-25 DIVIDE     ,43.93333,-106.65,1531,1/27/00 12:02,WY_ASOS
IKA,INYAN KARA      ,44.3,-104.63333,1319,1/27/00 12:20,WY_ASOS
JAC,JACKSON HOLE (AWOS),43.61281,-110.73699,1964,1/1/73 7:00,WY_ASOS
EMM,Kemmerer ,41.8241,-110.557,2217.5945,6/28/13 5:55,WY_ASOS
LND,LANDER/HUNT FIELD,42.81524,-108.72984,1694,1/1/48 9:00,WY_ASOS
LAR,LARAMIE/GEN. BREES,41.31206,-105.675,2218,1/1/48 1:00,WY_ASOS
AJL,Lava Mountain,43.674,-110.031,3155.8079,1/5/13 13:55,WY_ASOS
LSK,Lusk,42.75381,-104.40456,1509.0966,1/27/00 12:21,WY_ASOS
ECS,Newcastle,43.8854,-104.31792,1272,5/1/07 4:55,WY_ASOS
PAT,PATHFINDER HILL ,42.56667,-106.85,1912,1/27/00 12:01,WY_ASOS
82V,Pine Bluffs,41.1533,-104.1302,1563.2053,6/28/13 5:55,WY_ASOS
PNA,PINEDALE/RALPH WENZ FIELD,42.79547,-109.80708,2160,11/1/04 1:10,WY_ASOS
PIN,PINEY CREEK     ,44.56667,-106.81667,1392,1/27/00 12:03,WY_ASOS
POY,Powell,44.8672,-108.7934,1538.4971,7/8/14 14:55,WY_ASOS
PUM,PUMPKIN VINE    ,41.05,-105.46667,2420,1/27/00 12:33,WY_ASOS
RWL,RAWLINS MUNICIPAL,41.8056,-107.19994,2077,1/1/55 1:00,WY_ASOS
RIM,RIM / PINEDALE  ,43.1,-110.32,2294,4/13/00 16:00,WY_ASOS
RIW,RIVERTON,43.06423,-108.45984,1688,1/1/73 8:00,WY_ASOS
RKS,ROCK SPRINGS,41.59422,-109.06519,2060,1/1/48 1:00,WY_ASOS
SGE,SAGE / JUNCTION ,41.79,-110.5,2354,4/13/00 15:30,WY_ASOS
SAA,Saratoga,41.4435,-106.8275,2114.2974,7/1/00 11:00,WY_ASOS
SHR,SHERIDAN CO. ARPT,44.77,-106.97,1209,1/1/48 7:00,WY_ASOS
SHC,SHUTE CREEK     ,41.93,-109.96,2043,4/30/00 18:34,WY_ASOS
SIB,SIBLEY PEAK     ,42.45,-105.03333,1500,1/27/00 12:21,WY_ASOS
SKL,SKYLINE         ,41.13,-106.56,2451,5/1/00 1:47,WY_ASOS
FWZ,South Pass,42.51339,-108.77722,2585.0173,10/14/11 16:55,WY_ASOS
JPD,Ten Sleep,44.15,-107.17,2741,11/22/11 17:15,WY_ASOS
